,3G SPECIAL SITUATIONS FUND IV SUB/RED,ibov
,PX_LAST,PX_LAST
Date,,
2016-06-14,,48648.3
2016-06-15,,48914.7
2016-06-15,,48914.7
2016-06-16,,49411.6
2016-06-16,,49411.6
2016-06-17,,49533.8
2016-06-17,,49533.8
2016-06-20,,50329.4
2016-06-20,,50329.4
2016-06-21,,50837.8
2016-06-21,,50837.8
2016-06-22,,50156.3
2016-06-22,,50156.3
2016-06-23,,51559.8
2016-06-23,,51559.8
2016-06-24,,50105.3
2016-06-24,,50105.3
2016-06-27,,49245.5
2016-06-27,,49245.5
2016-06-28,,50006.6
2016-06-28,,50006.6
2016-06-29,,51001.9
2016-06-29,,51001.9
2016-06-30,1749.654276,51526.9
2016-06-30,1749.654276,51526.9
2016-07-01,,52233.0
2016-07-01,,52233.0
2016-07-04,,52568.7
2016-07-04,,52568.7
2016-07-05,,51842.3
2016-07-05,,51842.3
2016-07-06,,51901.8
2016-07-06,,51901.8
2016-07-07,,52014.7
2016-07-07,,52014.7
2016-07-08,,53140.7
2016-07-08,,53140.7
2016-07-11,,53960.1
2016-07-11,,53960.1
2016-07-12,,54256.4
2016-07-12,,54256.4
2016-07-13,,54598.3
2016-07-13,,54598.3
2016-07-14,,55480.9
2016-07-14,,55480.9
2016-07-15,,55578.2
2016-07-15,,55578.2
2016-07-18,,56484.2
2016-07-18,,56484.2
2016-07-19,,56698.1
2016-07-19,,56698.1
2016-07-20,,56578.0
2016-07-20,,56578.0
2016-07-21,,56641.5
2016-07-21,,56641.5
2016-07-22,,57002.1
2016-07-22,,57002.1
2016-07-25,,56872.7
2016-07-25,,56872.7
2016-07-26,,56782.8
2016-07-26,,56782.8
2016-07-27,,56852.8
2016-07-27,,56852.8
2016-07-28,,56667.1
2016-07-28,,56667.1
2016-07-29,1749.654276,57308.2
2016-07-29,1749.654276,57308.2
2016-08-01,,56755.8
2016-08-01,,56755.8
2016-08-02,,56162.4
2016-08-02,,56162.4
2016-08-03,,57076.9
2016-08-03,,57076.9
2016-08-04,,57593.9
2016-08-04,,57593.9
2016-08-05,,57661.1
2016-08-05,,57661.1
2016-08-08,,57635.4
2016-08-08,,57635.4
2016-08-09,,57689.4
2016-08-09,,57689.4
2016-08-10,,56919.8
2016-08-10,,56919.8
