Product;FinancialPrice;data
paiva;3,966934;06/11/2020
paiva;3,948288;05/11/2020
paiva;3,826701;04/11/2020
paiva;3,724862;03/11/2020
paiva;3,666781;02/11/2020
paiva;3,666781;30/10/2020
paiva;3,772578;29/10/2020
paiva;3,735435;28/10/2020
paiva;3,865203;27/10/2020
paiva;3,885728;26/10/2020
paiva;3,904608;23/10/2020
paiva;3,91697;22/10/2020
paiva;3,903961;21/10/2020
paiva;3,90196;20/10/2020
paiva;3,839537;19/10/2020
paiva;3,838224;16/10/2020
paiva;3,853424;15/10/2020
paiva;3,842359;14/10/2020
paiva;3,805709;13/10/2020
paiva;3,772976;12/10/2020
paiva;3,772976;09/10/2020
paiva;3,770143;08/10/2020
paiva;3,712955;07/10/2020
paiva;3,715663;06/10/2020
paiva;3,727611;05/10/2020
paiva;3,676653;02/10/2020
paiva;3,727514;01/10/2020
paiva;3,692158;30/09/2020
paiva;3,649178;29/09/2020
paiva;3,677435;28/09/2020
paiva;3,761701;25/09/2020
paiva;3,753763;24/09/2020
paiva;3,724774;23/09/2020
paiva;3,769811;22/09/2020
paiva;3,750418;21/09/2020
paiva;3,785545;18/09/2020
paiva;3,842051;17/09/2020
paiva;3,845001;16/09/2020
paiva;3,867595;15/09/2020
paiva;3,864456;14/09/2020
paiva;3,78537;11/09/2020
paiva;3,811287;10/09/2020
paiva;3,895091;09/09/2020
paiva;3,845796;08/09/2020
paiva;3,873948;07/09/2020
paiva;3,873948;04/09/2020
paiva;3,865816;03/09/2020
paiva;3,93605;02/09/2020
paiva;3,941186;01/09/2020
paiva;3,857975;31/08/2020
paiva;3,929144;28/08/2020
paiva;3,879904;27/08/2020
paiva;3,87419;26/08/2020
paiva;3,91426;25/08/2020
paiva;3,904287;24/08/2020
paiva;3,87903;21/08/2020
paiva;3,864687;20/08/2020
paiva;3,834949;19/08/2020
paiva;3,865427;18/08/2020
paiva;3,768571;17/08/2020
paiva;3,844973;14/08/2020
paiva;3,79775;13/08/2020
paiva;3,830759;12/08/2020
paiva;3,849923;11/08/2020
paiva;3,881614;10/08/2020
paiva;3,897029;07/08/2020
paiva;3,940954;06/08/2020
paiva;3,886813;05/08/2020
paiva;3,833798;04/08/2020
paiva;3,880939;03/08/2020
paiva;3,878857;31/07/2020
paiva;3,926662;30/07/2020
paiva;3,893887;29/07/2020
paiva;3,835839;28/07/2020
paiva;3,83759;27/07/2020
paiva;3,79187;24/07/2020
paiva;3,801195;23/07/2020
paiva;3,859709;22/07/2020
paiva;3,860229;21/07/2020
paiva;3,886594;20/07/2020
paiva;3,820828;17/07/2020
paiva;3,735628;16/07/2020
paiva;3,762819;15/07/2020
paiva;3,71982;14/07/2020
paiva;3,69032;13/07/2020
paiva;3,750011;10/07/2020
paiva;3,725261;09/07/2020
paiva;3,731769;08/07/2020
paiva;3,669802;07/07/2020
paiva;3,692334;06/07/2020
paiva;3,617214;03/07/2020
paiva;3,59055;02/07/2020
paiva;3,596796;01/07/2020
paiva;3,544609;30/06/2020
paiva;3,487421;29/06/2020
paiva;3,487197;26/06/2020
paiva;3,564218;25/06/2020
paiva;3,516839;24/06/2020
paiva;3,568065;23/06/2020
paiva;3,550729;22/06/2020
paiva;3,570773;19/06/2020
paiva;3,547739;18/06/2020
paiva;3,530044;17/06/2020
paiva;3,447695;16/06/2020
paiva;3,42707;15/06/2020
paiva;3,418221;12/06/2020
paiva;3,461031;11/06/2020
paiva;3,461031;10/06/2020
paiva;3,516408;09/06/2020
paiva;3,542892;08/06/2020
paiva;3,443066;05/06/2020
paiva;3,405383;04/06/2020
paiva;3,397034;03/06/2020
paiva;3,305972;02/06/2020
paiva;3,252528;01/06/2020
paiva;3,195677;29/05/2020
paiva;3,196108;28/05/2020
paiva;3,235687;27/05/2020
paiva;3,134082;26/05/2020
paiva;3,118116;25/05/2020
paiva;3,010917;22/05/2020
paiva;3,028976;21/05/2020
paiva;2,960655;20/05/2020
paiva;2,941595;19/05/2020
paiva;2,945388;18/05/2020
paiva;2,822713;15/05/2020
paiva;2,852574;14/05/2020
paiva;2,816411;13/05/2020
paiva;2,824426;12/05/2020
paiva;2,878651;11/05/2020
paiva;2,921176;08/05/2020
paiva;2,900506;07/05/2020
paiva;2,935552;06/05/2020
paiva;2,917103;05/05/2020
paiva;2,90831;04/05/2020
paiva;2,971442;01/05/2020
paiva;2,971442;30/04/2020
paiva;3,055196;29/04/2020
paiva;2,993822;28/04/2020
paiva;2,88847;27/04/2020
paiva;2,770951;24/04/2020
paiva;2,93592;23/04/2020
paiva;2,969774;22/04/2020
paiva;2,881922;21/04/2020
paiva;2,881922;20/04/2020
paiva;2,846718;17/04/2020
paiva;2,814627;16/04/2020
paiva;2,819359;15/04/2020
paiva;2,81921;14/04/2020
paiva;2,747781;13/04/2020
paiva;2,729577;10/04/2020
paiva;2,729577;09/04/2020
paiva;2,753808;08/04/2020
paiva;2,665987;07/04/2020
paiva;2,570556;06/04/2020
paiva;2,407324;03/04/2020
paiva;2,491063;02/04/2020
paiva;2,45976;01/04/2020
paiva;2,582096;31/03/2020
paiva;2,66653;30/03/2020
paiva;2,673432;27/03/2020
paiva;2,833814;26/03/2020
paiva;2,693968;25/03/2020
paiva;2,486266;24/03/2020
paiva;2,257885;23/03/2020
paiva;2,386955;20/03/2020
paiva;2,391883;19/03/2020
paiva;2,270429;18/03/2020
paiva;2,62585;17/03/2020
paiva;2,547828;16/03/2020
paiva;3,000215;13/03/2020
paiva;2,674008;12/03/2020
paiva;3,164952;11/03/2020
paiva;3,420909;10/03/2020
paiva;3,184659;09/03/2020
paiva;3,595996;06/03/2020
paiva;3,754688;05/03/2020
paiva;3,967109;04/03/2020
paiva;3,900416;03/03/2020
paiva;3,934038;02/03/2020
paiva;3,837401;28/02/2020
paiva;3,805681;27/02/2020
paiva;3,912574;26/02/2020
paiva;4,165036;25/02/2020
paiva;4,165036;24/02/2020
paiva;4,165036;21/02/2020
paiva;4,188261;20/02/2020
paiva;4,242946;19/02/2020
paiva;4,186994;18/02/2020
paiva;4,2018;17/02/2020
paiva;4,16784;14/02/2020
paiva;4,189782;13/02/2020
paiva;4,201785;12/02/2020
paiva;4,133576;11/02/2020
paiva;4,027147;10/02/2020
paiva;4,087689;07/02/2020
paiva;4,159672;06/02/2020
paiva;4,209835;05/02/2020
paiva;4,203615;04/02/2020
paiva;4,170066;03/02/2020
paiva;4,118359;31/01/2020
paiva;4,172727;30/01/2020
paiva;4,177479;29/01/2020
paiva;4,195399;28/01/2020
paiva;4,10775;27/01/2020
paiva;4,226347;24/01/2020
paiva;4,258818;23/01/2020
paiva;4,224609;22/01/2020
paiva;4,179088;21/01/2020
paiva;4,21481;20/01/2020
paiva;4,189047;17/01/2020
paiva;4,156849;16/01/2020
paiva;4,143213;15/01/2020
paiva;4,155915;14/01/2020
paiva;4,140744;13/01/2020
paiva;4,083056;10/01/2020
paiva;4,074911;09/01/2020
paiva;4,052244;08/01/2020
paiva;4,063063;07/01/2020
paiva;4,051773;06/01/2020
paiva;4,076965;03/01/2020
paiva;4,069463;02/01/2020
paiva;3,988852;01/01/2020
paiva;3,988852;31/12/2019
paiva;3,98972;30/12/2019
paiva;4,009031;27/12/2019
paiva;4,02511;26/12/2019
paiva;3,988759;25/12/2019
paiva;3,988759;24/12/2019
paiva;3,983329;23/12/2019
paiva;3,955251;20/12/2019
paiva;3,949183;19/12/2019
paiva;3,910889;18/12/2019
paiva;3,859933;17/12/2019
paiva;3,86804;16/12/2019
paiva;3,857024;13/12/2019
paiva;3,811026;12/12/2019
paiva;3,783283;11/12/2019
paiva;3,741245;10/12/2019
paiva;3,737734;09/12/2019
paiva;3,746851;06/12/2019
paiva;3,707368;05/12/2019
paiva;3,693909;04/12/2019
paiva;3,672154;03/12/2019
paiva;3,652663;02/12/2019
paiva;3,640796;29/11/2019
paiva;3,636371;28/11/2019
paiva;3,609001;27/11/2019
paiva;3,59392;26/11/2019
paiva;3,618469;25/11/2019
paiva;3,617135;22/11/2019
paiva;3,580891;21/11/2019
paiva;3,524041;20/11/2019
paiva;3,521279;19/11/2019
paiva;3,533286;18/11/2019
paiva;3,547566;15/11/2019
paiva;3,547566;14/11/2019
paiva;3,49363;13/11/2019
paiva;3,505414;12/11/2019
paiva;3,561136;11/11/2019
paiva;3,535707;08/11/2019
paiva;3,580104;07/11/2019
paiva;3,541894;06/11/2019
paiva;3,530462;05/11/2019
paiva;3,556148;04/11/2019
paiva;3,560002;01/11/2019
paiva;3,516935;31/10/2019
paiva;3,533885;30/10/2019
paiva;3,497961;29/10/2019
paiva;3,502476;28/10/2019
paiva;3,490879;25/10/2019
paiva;3,487558;24/10/2019
paiva;3,505217;23/10/2019
paiva;3,520838;22/10/2019
paiva;3,510538;21/10/2019
paiva;3,481233;18/10/2019
paiva;3,475591;17/10/2019
paiva;3,470496;16/10/2019
paiva;3,449473;15/10/2019
paiva;3,4574;14/10/2019
paiva;3,434787;11/10/2019
paiva;3,374266;10/10/2019
paiva;3,368469;09/10/2019
paiva;3,339656;08/10/2019
paiva;3,36787;07/10/2019
paiva;3,423606;04/10/2019
paiva;3,388136;03/10/2019
paiva;3,359369;02/10/2019
paiva;3,428557;01/10/2019
paiva;3,446538;30/09/2019
paiva;3,435643;27/09/2019
paiva;3,440175;26/09/2019
paiva;3,412264;25/09/2019
paiva;3,409019;24/09/2019
paiva;3,423469;23/09/2019
paiva;3,433911;20/09/2019
paiva;3,431595;19/09/2019
paiva;3,4074;18/09/2019
paiva;3,397475;17/09/2019
paiva;3,361002;16/09/2019
paiva;3,36598;13/09/2019
paiva;3,396529;12/09/2019
paiva;3,378448;11/09/2019
paiva;3,312734;10/09/2019
paiva;3,318459;09/09/2019
paiva;3,365658;06/09/2019
paiva;3,37572;05/09/2019
paiva;3,365003;04/09/2019
paiva;3,348829;03/09/2019
paiva;3,384967;02/09/2019
paiva;3,378437;30/08/2019
paiva;3,345346;29/08/2019
paiva;3,2798;28/08/2019
paiva;3,246219;27/08/2019
paiva;3,216432;26/08/2019
paiva;3,266133;23/08/2019
paiva;3,337422;22/08/2019
paiva;3,369731;21/08/2019
paiva;3,310599;20/08/2019
paiva;3,31203;19/08/2019
paiva;3,326538;16/08/2019
paiva;3,295967;15/08/2019
paiva;3,342647;14/08/2019
paiva;3,423618;13/08/2019
paiva;3,390366;12/08/2019
paiva;3,454101;09/08/2019
paiva;3,435438;08/08/2019
paiva;3,376101;07/08/2019
paiva;3,359127;06/08/2019
paiva;3,290672;05/08/2019
paiva;3,364398;02/08/2019
paiva;3,349902;01/08/2019
paiva;3,318337;31/07/2019
paiva;3,330499;30/07/2019
paiva;3,31104;29/07/2019
paiva;3,283558;26/07/2019
paiva;3,263281;25/07/2019
paiva;3,296202;24/07/2019
paiva;3,286151;23/07/2019
paiva;3,299338;22/07/2019
paiva;3,298496;19/07/2019
paiva;3,333866;18/07/2019
paiva;3,315957;17/07/2019
paiva;3,303333;16/07/2019
paiva;3,294099;15/07/2019
paiva;3,298568;12/07/2019
paiva;3,3277;11/07/2019
paiva;3,351338;10/07/2019
paiva;3,302729;09/07/2019
paiva;3,301061;08/07/2019
paiva;3,27345;05/07/2019
paiva;3,245485;04/07/2019
paiva;3,196656;03/07/2019
paiva;3,155339;02/07/2019
paiva;3,164023;01/07/2019
paiva;3,16695;28/06/2019
paiva;3,141443;27/06/2019
paiva;3,124113;26/06/2019
paiva;3,118176;25/06/2019
paiva;3,176064;24/06/2019
paiva;3,173063;21/06/2019
paiva;3,140347;20/06/2019
paiva;3,140347;19/06/2019
paiva;3,117094;18/06/2019
paiva;3,08298;17/06/2019
paiva;3,086325;14/06/2019
paiva;3,102108;13/06/2019
paiva;3,066489;12/06/2019
paiva;3,084993;11/06/2019
paiva;3,052426;10/06/2019
paiva;3,060706;07/06/2019
paiva;3,03055;06/06/2019
paiva;3,003512;05/06/2019
paiva;3,029245;04/06/2019
paiva;3,022709;03/06/2019
paiva;3,025754;31/05/2019
paiva;3,024424;30/05/2019
paiva;2,998186;29/05/2019
paiva;2,991388;28/05/2019
paiva;2,949037;27/05/2019
paiva;2,91467;24/05/2019
paiva;2,925343;23/05/2019
paiva;2,941471;22/05/2019
paiva;2,939339;21/05/2019
paiva;2,873025;20/05/2019
paiva;2,813318;17/05/2019
paiva;2,831839;16/05/2019
paiva;2,869131;15/05/2019
paiva;2,883723;14/05/2019
paiva;2,873709;13/05/2019
paiva;2,93977;10/05/2019
paiva;2,944613;09/05/2019
paiva;2,952032;08/05/2019
paiva;2,919682;07/05/2019
paiva;2,930571;06/05/2019
paiva;2,950156;03/05/2019
paiva;2,928543;02/05/2019
paiva;2,944969;01/05/2019
paiva;2,944969;30/04/2019
paiva;2,939433;29/04/2019
paiva;2,932375;26/04/2019
paiva;2,928774;25/04/2019
paiva;2,880907;24/04/2019
paiva;2,895747;23/04/2019
paiva;2,86739;22/04/2019
paiva;2,863182;19/04/2019
paiva;2,863182;18/04/2019
paiva;2,8218;17/04/2019
paiva;2,840772;16/04/2019
paiva;2,824184;15/04/2019
paiva;2,812072;12/04/2019
paiva;2,851072;11/04/2019
paiva;2,88111;10/04/2019
paiva;2,875575;09/04/2019
paiva;2,908174;08/04/2019
paiva;2,921938;05/04/2019
paiva;2,902636;04/04/2019
paiva;2,870357;03/04/2019
paiva;2,892527;02/04/2019
paiva;2,897126;01/04/2019
paiva;2,879054;29/03/2019
paiva;2,844655;28/03/2019
paiva;2,793521;27/03/2019
paiva;2,884318;26/03/2019
paiva;2,842692;25/03/2019
paiva;2,844681;22/03/2019
paiva;2,915639;21/03/2019
paiva;2,938854;20/03/2019
paiva;2,96566;19/03/2019
paiva;2,961069;18/03/2019
paiva;2,94308;15/03/2019
paiva;2,944219;14/03/2019
paiva;2,952755;13/03/2019
paiva;2,93885;12/03/2019
paiva;2,941662;11/03/2019
paiva;2,884783;08/03/2019
paiva;2,844368;07/03/2019
paiva;2,850935;06/03/2019
paiva;2,867786;05/03/2019
paiva;2,867786;04/03/2019
paiva;2,867786;01/03/2019
paiva;2,88982;28/02/2019
paiva;2,915315;27/02/2019
paiva;2,915219;26/02/2019
paiva;2,911094;25/02/2019
paiva;2,915922;22/02/2019
paiva;2,888018;21/02/2019
paiva;2,887673;20/02/2019
paiva;2,917461;19/02/2019
paiva;2,894565;18/02/2019
paiva;2,902839;15/02/2019
paiva;2,912187;14/02/2019
paiva;2,867748;13/02/2019
paiva;2,871819;12/02/2019
paiva;2,848996;11/02/2019
paiva;2,870761;08/02/2019
paiva;2,8556;07/02/2019
paiva;2,873856;06/02/2019
paiva;2,944411;05/02/2019
paiva;2,945768;04/02/2019
paiva;2,931556;01/02/2019
paiva;2,927861;31/01/2019
paiva;2,922924;30/01/2019
paiva;2,891636;29/01/2019
paiva;2,88272;28/01/2019
paiva;2,902377;25/01/2019
paiva;2,901753;24/01/2019
paiva;2,868414;23/01/2019
paiva;2,826403;22/01/2019
paiva;2,850187;21/01/2019
paiva;2,847173;18/01/2019
paiva;2,832935;17/01/2019
paiva;2,801296;16/01/2019
paiva;2,787547;15/01/2019
paiva;2,793352;14/01/2019
paiva;2,775371;11/01/2019
paiva;2,779434;10/01/2019
paiva;2,771398;09/01/2019
paiva;2,725478;08/01/2019
paiva;2,724464;07/01/2019
paiva;2,741061;04/01/2019
paiva;2,74308;03/01/2019
paiva;2,728854;02/01/2019
paiva;2,660952;01/01/2019
paiva;2,660952;31/12/2018
paiva;2,661984;28/12/2018
paiva;2,60426;27/12/2018
paiva;2,588239;26/12/2018
paiva;2,59168;25/12/2018
paiva;2,59168;24/12/2018
paiva;2,595579;21/12/2018
paiva;2,580581;20/12/2018
paiva;2,588588;19/12/2018
paiva;2,602028;18/12/2018
paiva;2,59516;17/12/2018
paiva;2,630384;14/12/2018
paiva;2,637525;13/12/2018
paiva;2,630235;12/12/2018
paiva;2,605514;11/12/2018
paiva;2,589113;10/12/2018
paiva;2,628966;07/12/2018
paiva;2,643417;06/12/2018
paiva;2,641093;05/12/2018
paiva;2,62665;04/12/2018
paiva;2,657919;03/12/2018
paiva;2,6459;30/11/2018
paiva;2,647071;29/11/2018
paiva;2,630018;28/11/2018
paiva;2,598742;27/11/2018
paiva;2,542322;26/11/2018
paiva;2,555044;23/11/2018
paiva;2,575499;22/11/2018
paiva;2,564924;21/11/2018
paiva;2,572915;20/11/2018
paiva;2,578836;19/11/2018
paiva;2,597284;16/11/2018
paiva;2,537788;15/11/2018
paiva;2,537788;14/11/2018
paiva;2,498472;13/11/2018
paiva;2,504402;12/11/2018
paiva;2,515168;09/11/2018
paiva;2,507838;08/11/2018
paiva;2,556224;07/11/2018
paiva;2,583663;06/11/2018
paiva;2,605728;05/11/2018
paiva;2,580165;02/11/2018
paiva;2,580165;01/11/2018
paiva;2,557144;31/10/2018
paiva;2,5377;30/10/2018
paiva;2,46345;29/10/2018
paiva;2,507566;26/10/2018
paiva;2,476089;25/10/2018
paiva;2,45293;24/10/2018
paiva;2,497982;23/10/2018
paiva;2,49195;22/10/2018
paiva;2,456732;19/10/2018
paiva;2,436899;18/10/2018
paiva;2,462888;17/10/2018
paiva;2,444652;16/10/2018
paiva;2,381491;15/10/2018
paiva;2,396746;12/10/2018
paiva;2,396746;11/10/2018
paiva;2,413132;10/10/2018
paiva;2,465206;09/10/2018
paiva;2,459003;08/10/2018
paiva;2,374365;05/10/2018
paiva;2,378993;04/10/2018
paiva;2,385091;03/10/2018
paiva;2,338605;02/10/2018
paiva;2,266394;01/10/2018
paiva;2,310515;28/09/2018
paiva;2,323791;27/09/2018
paiva;2,296765;26/09/2018
paiva;2,298224;25/09/2018
paiva;2,295844;24/09/2018
paiva;2,325111;21/09/2018
paiva;2,290564;20/09/2018
paiva;2,285852;19/09/2018
paiva;2,293136;18/09/2018
paiva;2,262204;17/09/2018
paiva;2,223679;14/09/2018
paiva;2,209618;13/09/2018
paiva;2,223649;12/09/2018
paiva;2,223062;11/09/2018
paiva;2,264046;10/09/2018
paiva;2,266703;07/09/2018
paiva;2,266703;06/09/2018
paiva;2,245546;05/09/2018
paiva;2,239375;04/09/2018
paiva;2,279122;03/09/2018
paiva;2,283798;31/08/2018
paiva;2,277407;30/08/2018
paiva;2,3327;29/08/2018
paiva;2,315625;28/08/2018
paiva;2,323722;27/08/2018
