,IBOXHY Index
,PX_LAST
Date,
2018-09-28,276.7841
2018-10-01,277.5074
2018-10-02,277.6806
2018-10-03,277.6161
2018-10-04,276.1879
2018-10-05,275.6727
2018-10-08,275.8145
2018-10-09,274.8746
2018-10-10,273.7186
2018-10-11,273.6826
2018-10-12,274.3085
2018-10-15,274.4683
2018-10-16,275.0273
2018-10-17,274.9076
2018-10-18,274.3
2018-10-19,274.1328
2018-10-22,274.0727
2018-10-23,273.0585
2018-10-24,273.2738
2018-10-25,272.7564
2018-10-26,272.0341
2018-10-29,272.114
2018-10-30,271.4691
2018-10-31,272.3172
2018-11-01,272.5107
2018-11-02,272.8613
2018-11-05,273.1153
2018-11-06,273.4023
2018-11-07,274.3509
2018-11-08,274.5594
2018-11-09,273.4031
2018-11-12,273.5443
2018-11-13,272.2669
2018-11-14,271.2054
2018-11-15,270.0414
2018-11-16,269.6766
2018-11-19,269.4565
2018-11-20,268.641
2018-11-21,269.4787
2018-11-22,269.5258
2018-11-23,269.0056
2018-11-26,269.7694
2018-11-27,269.3991
2018-11-28,270.2059
2018-11-29,270.8094
2018-11-30,271.0024
2018-12-03,272.2448
2018-12-04,271.9417
2018-12-05,271.9891
2018-12-06,270.0428
2018-12-07,270.6668
2018-12-10,270.058
2018-12-11,270.4059
2018-12-12,271.2632
2018-12-13,271.3972
2018-12-14,271.0752
2018-12-17,270.3941
2018-12-18,269.2348
2018-12-19,268.5109
2018-12-20,265.0609
2018-12-21,263.9933
2018-12-24,263.2207
2018-12-26,262.8796
2018-12-27,263.3799
2018-12-28,264.4901
2018-12-31,265.1442
2019-01-02,265.3577
2019-01-03,265.6722
2019-01-04,269.2297
2019-01-07,271.325
2019-01-08,272.7486
2019-01-09,274.0829
2019-01-10,273.8676
2019-01-11,274.0233
2019-01-14,273.6185
2019-01-15,273.973
2019-01-16,274.9655
2019-01-17,275.0983
2019-01-18,276.0638
2019-01-21,276.2069
2019-01-22,275.4068
2019-01-23,275.1978
2019-01-24,275.0527
2019-01-25,275.7663
2019-01-28,275.4159
2019-01-29,275.781
2019-01-30,276.4097
2019-01-31,277.8147
2019-02-01,278.1359
2019-02-04,278.4272
2019-02-05,279.5034
2019-02-06,279.8198
2019-02-07,278.7725
2019-02-08,278.4422
2019-02-11,278.6388
2019-02-12,279.6419
2019-02-13,279.775
2019-02-14,279.7779
2019-02-15,280.2961
2019-02-18,280.4403
2019-02-19,280.503
2019-02-20,280.8445
2019-02-21,280.8456
2019-02-22,281.1061
2019-02-25,281.6065
2019-02-26,281.9511
2019-02-27,282.2783
2019-02-28,282.3163
2019-03-01,282.5359
2019-03-04,282.4804
2019-03-05,282.3036
2019-03-06,281.9384
2019-03-07,281.5185
2019-03-08,280.731
2019-03-11,281.3299
2019-03-12,281.9782
2019-03-13,282.7865
2019-03-14,283.0034
2019-03-15,283.1606
2019-03-18,283.3331
2019-03-19,283.6245
2019-03-20,283.7214
2019-03-21,284.3858
2019-03-22,283.993
2019-03-25,283.7483
2019-03-26,284.1761
2019-03-27,284.2708
2019-03-28,284.414
2019-03-29,285.0206
2019-04-01,285.7189
2019-04-02,285.7756
2019-04-03,286.1293
2019-04-04,286.1903
2019-04-05,286.6308
2019-04-08,286.8814
2019-04-09,286.9097
2019-04-10,287.0959
2019-04-11,287.6184
2019-04-12,288.2118
2019-04-15,288.2589
2019-04-16,288.3675
2019-04-17,288.1178
2019-04-18,287.9571
2019-04-22,287.9789
2019-04-23,288.2236
2019-04-24,288.4345
2019-04-25,288.2601
2019-04-26,288.3266
2019-04-29,288.5871
2019-04-30,288.6912
2019-05-01,288.8249
2019-05-02,288.2954
2019-05-03,288.6676
2019-05-06,288.4173
2019-05-07,287.8941
2019-05-08,287.9081
2019-05-09,287.1412
2019-05-10,286.9688
2019-05-13,285.7512
2019-05-14,286.2589
2019-05-15,285.9911
2019-05-16,286.7674
2019-05-17,286.7031
2019-05-20,286.7137
2019-05-21,287.1667
2019-05-22,287.0352
2019-05-23,286.0503
2019-05-24,286.3704
2019-05-27,286.5161
2019-05-28,286.4444
2019-05-29,285.3906
2019-05-30,285.7365
2019-05-31,284.6834
2019-06-03,284.6062
2019-06-04,285.867
2019-06-05,286.4187
2019-06-06,286.8082
2019-06-07,287.8936
2019-06-10,288.8239
2019-06-11,289.168
2019-06-12,288.8067
2019-06-13,288.9677
2019-06-14,288.7982
2019-06-17,288.9404
2019-06-18,289.9175
2019-06-19,290.3093
2019-06-20,292.421
2019-06-21,292.2814
2019-06-24,292.365
2019-06-25,291.7103
2019-06-26,291.6146
2019-06-27,291.5695
2019-06-28,291.915
2019-07-01,292.6625
2019-07-02,292.5683
2019-07-03,292.8815
2019-07-04,292.9304
2019-07-05,292.6925
2019-07-08,292.6564
2019-07-09,292.2482
2019-07-10,292.6724
2019-07-11,292.5566
2019-07-12,292.5462
2019-07-15,292.7289
2019-07-16,292.6393
2019-07-17,292.3532
2019-07-18,291.762
2019-07-19,291.7829
2019-07-22,292.022
