,paiva,ibov
,PX_LAST,PX_LAST
Date,,
2015-03-05,1.567898,50365.2
2015-03-05,1.567898,50365.2
2015-03-06,1.563507,49981.2
2015-03-06,1.563507,49981.2
2015-03-06,1.563507,49981.2
2015-03-06,1.563507,49981.2
2015-03-09,1.552686,49181.0
2015-03-09,1.552686,49181.0
2015-03-09,1.552686,49181.0
2015-03-09,1.552686,49181.0
2015-03-10,1.540983,48293.4
2015-03-10,1.540983,48293.4
2015-03-10,1.540983,48293.4
2015-03-10,1.540983,48293.4
2015-03-11,1.553696,48905.6
2015-03-11,1.553696,48905.6
2015-03-11,1.553696,48905.6
2015-03-11,1.553696,48905.6
2015-03-12,1.560997,48880.4
2015-03-12,1.560997,48880.4
2015-03-12,1.560997,48880.4
2015-03-12,1.560997,48880.4
2015-03-13,1.561937,48595.8
2015-03-13,1.561937,48595.8
2015-03-13,1.561937,48595.8
2015-03-13,1.561937,48595.8
2015-03-16,1.565814,48848.2
2015-03-16,1.565814,48848.2
2015-03-16,1.565814,48848.2
2015-03-16,1.565814,48848.2
2015-03-17,1.5845,50285.1
2015-03-17,1.5845,50285.1
2015-03-17,1.5845,50285.1
2015-03-17,1.5845,50285.1
2015-03-18,1.605281,51526.2
2015-03-18,1.605281,51526.2
2015-03-18,1.605281,51526.2
2015-03-18,1.605281,51526.2
2015-03-19,1.603363,50953.5
2015-03-19,1.603363,50953.5
2015-03-19,1.603363,50953.5
2015-03-19,1.603363,50953.5
2015-03-20,1.610335,51966.6
2015-03-20,1.610335,51966.6
2015-03-20,1.610335,51966.6
2015-03-20,1.610335,51966.6
2015-03-23,1.60666,51908.5
2015-03-23,1.60666,51908.5
2015-03-23,1.60666,51908.5
2015-03-23,1.60666,51908.5
2015-03-24,1.605071,51506.1
2015-03-24,1.605071,51506.1
2015-03-24,1.605071,51506.1
2015-03-24,1.605071,51506.1
2015-03-25,1.612464,51858.3
2015-03-25,1.612464,51858.3
2015-03-25,1.612464,51858.3
2015-03-25,1.612464,51858.3
2015-03-26,1.597317,50579.9
2015-03-26,1.597317,50579.9
2015-03-26,1.597317,50579.9
2015-03-26,1.597317,50579.9
2015-03-27,1.594445,50094.7
2015-03-27,1.594445,50094.7
2015-03-27,1.594445,50094.7
2015-03-27,1.594445,50094.7
2015-03-30,1.614015,51243.4
2015-03-30,1.614015,51243.4
2015-03-30,1.614015,51243.4
2015-03-30,1.614015,51243.4
2015-03-31,1.612234,51150.2
2015-03-31,1.612234,51150.2
2015-03-31,1.612234,51150.2
2015-03-31,1.612234,51150.2
2015-04-01,1.628192,52321.8
2015-04-01,1.628192,52321.8
2015-04-01,1.628192,52321.8
2015-04-01,1.628192,52321.8
2015-04-02,1.635164,53123.0
2015-04-02,1.635164,53123.0
2015-04-02,1.635164,53123.0
2015-04-02,1.635164,53123.0
2015-04-03,1.635164,53123.0
2015-04-03,1.635164,53123.0
2015-04-03,1.635164,53123.0
2015-04-03,1.635164,53123.0
2015-04-06,1.645553,53737.3
2015-04-06,1.645553,53737.3
2015-04-06,1.645553,53737.3
2015-04-06,1.645553,53737.3
2015-04-07,1.641507,53729.2
2015-04-07,1.641507,53729.2
2015-04-07,1.641507,53729.2
2015-04-07,1.641507,53729.2
2015-04-08,1.638386,53661.1
2015-04-08,1.638386,53661.1
2015-04-08,1.638386,53661.1
2015-04-08,1.638386,53661.1
2015-04-09,1.63403,53802.7
2015-04-09,1.63403,53802.7
2015-04-09,1.63403,53802.7
2015-04-09,1.63403,53802.7
2015-04-10,1.64134,54214.1
2015-04-10,1.64134,54214.1
2015-04-10,1.64134,54214.1
2015-04-10,1.64134,54214.1
2015-04-13,1.643007,54239.8
2015-04-13,1.643007,54239.8
2015-04-13,1.643007,54239.8
2015-04-13,1.643007,54239.8
2015-04-14,1.635911,53981.9
2015-04-14,1.635911,53981.9
2015-04-14,1.635911,53981.9
2015-04-14,1.635911,53981.9
2015-04-15,1.642854,54918.7
2015-04-15,1.642854,54918.7
2015-04-15,1.642854,54918.7
2015-04-15,1.642854,54918.7
2015-04-16,1.637119,54674.2
2015-04-16,1.637119,54674.2
2015-04-16,1.637119,54674.2
2015-04-16,1.637119,54674.2
2015-04-17,1.632379,53954.8
2015-04-17,1.632379,53954.8
2015-04-17,1.632379,53954.8
2015-04-17,1.632379,53954.8
2015-04-20,1.627275,53761.3
2015-04-20,1.627275,53761.3
2015-04-20,1.627275,53761.3
2015-04-20,1.627275,53761.3
2015-04-21,1.627275,53761.3
2015-04-21,1.627275,53761.3
2015-04-21,1.627275,53761.3
2015-04-21,1.627275,53761.3
2015-04-22,1.63249,54617.4
2015-04-22,1.63249,54617.4
2015-04-22,1.63249,54617.4
2015-04-22,1.63249,54617.4
2015-04-23,1.643855,55684.9
2015-04-23,1.643855,55684.9
2015-04-23,1.643855,55684.9
2015-04-23,1.643855,55684.9
2015-04-24,1.650244,56594.2
2015-04-24,1.650244,56594.2
2015-04-24,1.650244,56594.2
2015-04-24,1.650244,56594.2
2015-04-27,1.636004,55534.5
2015-04-27,1.636004,55534.5
2015-04-27,1.636004,55534.5
2015-04-27,1.636004,55534.5
2015-04-28,1.634825,55812.0
2015-04-28,1.634825,55812.0
2015-04-28,1.634825,55812.0
2015-04-28,1.634825,55812.0
2015-04-29,1.633228,55325.3
2015-04-29,1.633228,55325.3
2015-04-29,1.633228,55325.3
2015-04-29,1.633228,55325.3
2015-04-30,1.647652,56229.4
2015-04-30,1.647652,56229.4
2015-04-30,1.647652,56229.4
2015-04-30,1.647652,56229.4
2015-05-01,1.647652,56229.4
2015-05-01,1.647652,56229.4
2015-05-01,1.647652,56229.4
2015-05-01,1.647652,56229.4
2015-05-04,1.664361,57354.0
2015-05-04,1.664361,57354.0
2015-05-04,1.664361,57354.0
2015-05-04,1.664361,57354.0
2015-05-05,1.659713,58051.6
2015-05-05,1.659713,58051.6
2015-05-05,1.659713,58051.6
2015-05-05,1.659713,58051.6
2015-05-06,1.652086,57103.1
2015-05-06,1.652086,57103.1
2015-05-06,1.652086,57103.1
2015-05-06,1.652086,57103.1
2015-05-07,1.653907,56921.4
2015-05-07,1.653907,56921.4
2015-05-07,1.653907,56921.4
2015-05-07,1.653907,56921.4
2015-05-08,1.664683,57149.3
2015-05-08,1.664683,57149.3
2015-05-08,1.664683,57149.3
2015-05-08,1.664683,57149.3
2015-05-11,1.663463,57197.1
2015-05-11,1.663463,57197.1
2015-05-11,1.663463,57197.1
2015-05-11,1.663463,57197.1
2015-05-12,1.659802,56792.1
2015-05-12,1.659802,56792.1
2015-05-12,1.659802,56792.1
2015-05-12,1.659802,56792.1
2015-05-13,1.658451,56372.0
2015-05-13,1.658451,56372.0
2015-05-13,1.658451,56372.0
2015-05-13,1.658451,56372.0
2015-05-14,1.663238,56656.6
2015-05-14,1.663238,56656.6
2015-05-14,1.663238,56656.6
2015-05-14,1.663238,56656.6
2015-05-15,1.670361,57248.6
2015-05-15,1.670361,57248.6
2015-05-15,1.670361,57248.6
2015-05-15,1.670361,57248.6
2015-05-18,1.661161,56204.2
2015-05-18,1.661161,56204.2
2015-05-18,1.661161,56204.2
2015-05-18,1.661161,56204.2
2015-05-19,1.651827,55498.8
2015-05-19,1.651827,55498.8
2015-05-19,1.651827,55498.8
2015-05-19,1.651827,55498.8
2015-05-20,1.647564,54901.0
2015-05-20,1.647564,54901.0
2015-05-20,1.647564,54901.0
2015-05-20,1.647564,54901.0
2015-05-21,1.652269,55112.1
2015-05-21,1.652269,55112.1
2015-05-21,1.652269,55112.1
2015-05-21,1.652269,55112.1
2015-05-22,1.650768,54377.3
2015-05-22,1.650768,54377.3
2015-05-22,1.650768,54377.3
2015-05-22,1.650768,54377.3
2015-05-25,1.650846,54609.3
2015-05-25,1.650846,54609.3
2015-05-25,1.650846,54609.3
2015-05-25,1.650846,54609.3
2015-05-26,1.640872,53629.8
2015-05-26,1.640872,53629.8
2015-05-26,1.640872,53629.8
2015-05-26,1.640872,53629.8
2015-05-27,1.648605,54236.3
2015-05-27,1.648605,54236.3
2015-05-27,1.648605,54236.3
2015-05-27,1.648605,54236.3
2015-05-28,1.647831,53976.3
2015-05-28,1.647831,53976.3
2015-05-28,1.647831,53976.3
2015-05-28,1.647831,53976.3
2015-05-29,1.631408,52760.5
2015-05-29,1.631408,52760.5
2015-05-29,1.631408,52760.5
2015-05-29,1.631408,52760.5
2015-06-01,1.637891,53031.3
2015-06-01,1.637891,53031.3
2015-06-01,1.637891,53031.3
2015-06-01,1.637891,53031.3
2015-06-02,1.650277,54236.4
2015-06-02,1.650277,54236.4
2015-06-02,1.650277,54236.4
2015-06-02,1.650277,54236.4
2015-06-03,1.64606,53522.9
2015-06-03,1.64606,53522.9
2015-06-03,1.64606,53522.9
2015-06-03,1.64606,53522.9
2015-06-04,1.64606,53522.9
2015-06-04,1.64606,53522.9
2015-06-04,1.64606,53522.9
2015-06-04,1.64606,53522.9
2015-06-05,1.638199,52973.4
2015-06-05,1.638199,52973.4
2015-06-05,1.638199,52973.4
2015-06-05,1.638199,52973.4
2015-06-08,1.639612,52809.6
2015-06-08,1.639612,52809.6
2015-06-08,1.639612,52809.6
2015-06-08,1.639612,52809.6
2015-06-09,1.635547,52816.0
2015-06-09,1.635547,52816.0
2015-06-09,1.635547,52816.0
2015-06-09,1.635547,52816.0
2015-06-10,1.647904,53876.4
2015-06-10,1.647904,53876.4
2015-06-10,1.647904,53876.4
2015-06-10,1.647904,53876.4
2015-06-11,1.641215,53688.5
2015-06-11,1.641215,53688.5
2015-06-11,1.641215,53688.5
2015-06-11,1.641215,53688.5
2015-06-12,1.638096,53347.5
2015-06-12,1.638096,53347.5
2015-06-12,1.638096,53347.5
2015-06-12,1.638096,53347.5
2015-06-15,1.636771,53137.5
2015-06-15,1.636771,53137.5
2015-06-15,1.636771,53137.5
2015-06-15,1.636771,53137.5
2015-06-16,1.639926,53702.2
2015-06-16,1.639926,53702.2
2015-06-16,1.639926,53702.2
2015-06-16,1.639926,53702.2
2015-06-17,1.633924,53248.5
2015-06-17,1.633924,53248.5
2015-06-17,1.633924,53248.5
2015-06-17,1.633924,53248.5
2015-06-18,1.643423,54238.6
2015-06-18,1.643423,54238.6
2015-06-18,1.643423,54238.6
2015-06-18,1.643423,54238.6
2015-06-19,1.643547,53749.4
2015-06-19,1.643547,53749.4
2015-06-19,1.643547,53749.4
2015-06-19,1.643547,53749.4
2015-06-22,1.648758,53863.7
